"","PC1","PC2"
"anomalia_xch4",-0.067599354732911,0.755010757969766
"anomalia_xco2",-0.0812978956152126,0.365621497057919
"desmatamento",-0.197703022646607,0.608534150545676
"vento",-0.345855232616439,-0.766481109475283
"lai",-0.670281840025521,0.45675700271446
"precipitacao",-0.850395319509784,0.094784059106325
"fpar",-0.868469040453668,0.154131122849777
"radiacao",-0.915570056738951,-0.275844610549993
"pressao",-0.94843997406483,-0.161458978412367
"umidade",-0.958849838925891,-0.0530935842204012
